Tiempo ,U_YAW,U_PITCH,W_YAW,W_PITCH,YAW,PITCH,,,,,,,,
12.88,4.983,19.853,-0.004,-0.026,-0.005,-0.005,,,,,,,,
12.9,5.472,20.332,0,-0.041,-0.005,-0.005,,,,,,,,
12.92,5.165,19.635,0.001,-0.018,-0.005,-0.005,,,,,,,,
12.94,4.542,18.259,0,0.022,-0.005,-0.004,,,,,,,,
12.96,2.438,17.442,-0.026,0.041,-0.007,-0.004,,,,,,,,
12.98,1.447,17.09,-0.041,0.045,-0.007,-0.002,,,,,,,,
13,2.905,17.272,-0.018,0.045,-0.007,-0.002,,,,,,,,
13.02,4.212,18.225,-0.004,0.018,-0.007,-0.002,,,,,,,,
13.04,4.317,17.777,0,0.029,-0.007,0,,,,,,,,
13.06,3.801,16.525,0.001,0.066,-0.007,0.002,,,,,,,,
13.08,3.891,16.779,0,0.058,-0.007,0.002,,,,,,,,
13.1,4.395,17.898,0,0.022,-0.007,0.002,,,,,,,,
13.12,4.263,17.528,0,0.03,-0.007,0.003,,,,,,,,
13.14,5.935,17.464,0.026,0.039,-0.005,0.003,,,,,,,,
13.16,7.176,18.266,0.041,0.017,-0.005,0.003,,,,,,,,
13.18,5.914,18.51,0.018,0.003,-0.005,0.003,,,,,,,,
13.2,5.057,18.524,0.004,-0.001,-0.005,0.003,,,,,,,,
13.22,4.775,18.495,0,-0.001,-0.005,0.003,,,,,,,,
13.24,4.745,18.475,-0.001,0,-0.005,0.003,,,,,,,,
13.26,4.767,18.467,0,0,-0.005,0.003,,,,,,,,
13.28,4.395,17.529,0,0.026,-0.005,0.005,,,,,,,,
13.3,4.193,17.084,0,0.041,-0.005,0.005,,,,,,,,
13.32,4.519,17.781,0,0.018,-0.005,0.005,,,,,,,,
13.34,5.11,19.151,0,-0.022,-0.005,0.003,,,,,,,,
13.36,5.765,20.66,0,-0.067,-0.005,0.002,,,,,,,,
13.38,5.647,20.409,0,-0.059,-0.005,0.002,,,,,,,,
13.4,5.106,19.252,0,-0.022,-0.005,0.002,,,,,,,,
13.42,4.832,18.664,0,-0.004,-0.005,0.002,,,,,,,,
13.44,5.147,19.446,0,-0.025,-0.005,0,,,,,,,,
13.46,5.741,20.824,0,-0.066,-0.005,-0.002,,,,,,,,
13.48,5.629,20.587,0,-0.058,-0.005,-0.002,,,,,,,,
13.5,5.1,19.458,0,-0.022,-0.005,-0.002,,,,,,,,
13.52,5.218,19.818,0,-0.03,-0.005,-0.004,,,,,,,,
13.54,5.354,20.113,0,-0.039,-0.005,-0.004,,,,,,,,
13.56,5.027,19.416,0,-0.017,-0.005,-0.004,,,,,,,,
13.58,4.83,18.999,0,-0.003,-0.005,-0.004,,,,,,,,
13.6,2.957,18.638,-0.026,0.001,-0.007,-0.004,,,,,,,,
13.62,2.034,18.523,-0.041,0.001,-0.007,-0.004,,,,,,,,
13.64,3.493,18.707,-0.018,0,-0.007,-0.004,,,,,,,,
13.66,4.409,18.823,-0.004,0,-0.007,-0.004,,,,,,,,
13.68,5.078,19.793,0,-0.026,-0.007,-0.005,,,,,,,,
13.7,5.304,20.239,0.001,-0.041,-0.007,-0.005,,,,,,,,
13.72,4.946,19.535,0,-0.018,-0.007,-0.005,,,,,,,,
13.74,4.332,18.16,0,0.022,-0.007,-0.004,,,,,,,,
13.76,4.054,17.581,0,0.041,-0.007,-0.004,,,,,,,,
13.78,6.186,18.508,0.026,0.019,-0.005,-0.004,,,,,,,,
13.8,6.926,18.136,0.041,0.031,-0.005,-0.002,,,,,,,,
13.82,5.331,17.669,0.018,0.04,-0.005,-0.002,,,,,,,,
13.84,4.748,18.275,0.004,0.017,-0.005,-0.002,,,,,,,,
13.86,4.662,18.668,0,0.004,-0.005,-0.002,,,,,,,,
13.88,4.31,17.858,-0.001,0.026,-0.005,0,,,,,,,,
13.9,4.134,17.426,0,0.04,-0.005,0,,,,,,,,
13.92,4.471,18.114,0,0.018,-0.005,0,,,,,,,,
13.94,4.677,18.545,0,0.004,-0.005,0,,,,,,,,
13.96,2.924,18.44,-0.026,0,-0.007,0,,,,,,,,
13.98,2.009,18.341,-0.041,-0.001,-0.007,0,,,,,,,,
14,3.456,18.497,-0.018,0,-0.007,0,,,,,,,,
14.02,4.363,18.593,-0.004,0,-0.007,0,,,,,,,,
14.04,4.643,18.622,0,0,-0.007,0,,,,,,,,
14.06,4.274,17.688,0.001,0.026,-0.007,0.002,,,,,,,,
14.08,4.037,17.241,0,0.041,-0.007,0.002,,,,,,,,
14.1,4.343,17.937,0,0.018,-0.007,0.002,,,,,,,,
14.12,4.928,19.308,0,-0.022,-0.007,0,,,,,,,,
14.14,5.195,19.884,0,-0.041,-0.007,0,,,,,,,,
14.16,6.684,19.429,0.026,-0.019,-0.005,0,,,,,,,,
14.18,7.775,20.016,0.041,-0.031,-0.005,-0.002,,,,,,,,
14.2,6.456,20.14,0.018,-0.04,-0.005,-0.002,,,,,,,,
14.22,5.595,20.253,0.004,-0.044,-0.005,-0.004,,,,,,,,
14.24,5.317,20.235,0,-0.044,-0.005,-0.004,,,,,,,,
14.26,5.294,20.339,-0.001,-0.044,-0.005,-0.005,,,,,,,,
14.28,5.318,20.338,0,-0.044,-0.005,-0.005,,,,,,,,
14.3,4.951,19.518,0,-0.017,-0.005,-0.005,,,,,,,,
14.32,5.524,20.947,0,-0.056,-0.005,-0.009,,,,,,,,
14.34,5.491,20.78,0,-0.054,-0.005,-0.007,,,,,,,,
14.36,4.628,18.937,0,0.005,-0.005,-0.007,,,,,,,,
14.38,4.55,18.777,0,0.011,-0.005,-0.007,,,,,,,,
14.4,4.63,18.955,0,0.005,-0.005,-0.007,,,,,,,,
14.42,4.683,19.075,0,0.001,-0.005,-0.007,,,,,,,,
14.44,3.274,19.814,-0.026,-0.026,-0.007,-0.009,,,,,,,,
14.46,2.562,20.154,-0.041,-0.041,-0.007,-0.009,,,,,,,,
14.48,3.687,19.624,-0.018,-0.018,-0.007,-0.009,,,,,,,,
14.5,4.004,18.357,-0.004,0.022,-0.007,-0.007,,,,,,,,
14.52,4.015,17.814,0,0.041,-0.007,-0.007,,,,,,,,
14.54,4.356,18.508,0.001,0.019,-0.007,-0.007,,,,,,,,
14.56,4.149,18.027,0,0.031,-0.007,-0.005,,,,,,,,
14.58,3.99,17.73,0,0.04,-0.007,-0.005,,,,,,,,
14.6,3.927,17.51,0,0.044,-0.007,-0.004,,,,,,,,
14.62,3.917,17.495,0,0.044,-0.007,-0.004,,,,,,,,
14.64,4.302,18.323,0,0.017,-0.007,-0.004,,,,,,,,
14.66,4.121,17.837,0,0.03,-0.007,-0.002,,,,,,,,
14.68,3.969,17.517,0,0.04,-0.007,-0.002,,,,,,,,
14.7,4.295,18.219,0,0.017,-0.007,-0.002,,,,,,,,
14.72,4.49,18.642,0,0.004,-0.007,-0.002,,,,,,,,
14.74,4.547,18.768,0,-0.001,-0.007,-0.002,,,,,,,,
14.76,6.361,19.012,0.026,-0.001,-0.005,-0.002,,,,,,,,
14.78,7.27,19.105,0.041,0,-0.005,-0.002,,,,,,,,
14.8,5.809,18.926,0.018,0,-0.005,-0.002,,,,,,,,
14.82,4.892,18.815,0.004,0,-0.005,-0.002,,,,,,,,
14.84,4.219,17.847,0,0.026,-0.005,0,,,,,,,,
14.86,3.989,17.402,-0.001,0.041,-0.005,0,,,,,,,,
14.88,4.731,19.039,0,-0.008,-0.005,-0.002,,,,,,,,
14.9,5.159,19.923,0,-0.037,-0.005,-0.002,,,,,,,,
14.92,4.899,19.359,0,-0.019,-0.005,-0.002,,,,,,,,
14.94,5.085,19.863,0,-0.031,-0.005,-0.004,,,,,,,,
14.96,5.219,20.155,0,-0.04,-0.005,-0.004,,,,,,,,
14.98,4.881,19.435,0,-0.017,-0.005,-0.004,,,,,,,,
15,3.253,19.704,-0.026,-0.03,-0.007,-0.005,,,,,,,,
15.02,2.48,19.911,-0.041,-0.04,-0.007,-0.005,,,,,,,,
15.04,3.99,20.309,-0.018,-0.044,-0.007,-0.007,,,,,,,,
15.06,4.909,20.434,-0.004,-0.044,-0.007,-0.007,,,,,,,,
15.08,4.803,19.64,0,-0.018,-0.007,-0.007,,,,,,,,
15.1,4.614,19.197,0.001,-0.003,-0.007,-0.007,,,,,,,,
15.12,4.525,19.073,0,0.001,-0.007,-0.007,,,,,,,,
15.14,4.504,19.071,0,0.001,-0.007,-0.007,,,,,,,,
15.16,5.278,20.957,0,-0.052,-0.007,-0.011,,,,,,,,
15.18,5.691,21.854,0,-0.081,-0.007,-0.011,,,,,,,,
15.2,5.037,20.458,0,-0.036,-0.007,-0.011,,,,,,,,
15.22,6.437,19.819,0.026,-0.008,-0.005,-0.011,,,,,,,,
15.24,7.225,19.658,0.041,0.001,-0.005,-0.011,,,,,,,,
15.26,5.758,19.47,0.018,0.002,-0.005,-0.011,,,,,,,,
15.28,4.467,18.46,0.004,0.027,-0.005,-0.009,,,,,,,,
15.3,3.984,18.007,0,0.041,-0.005,-0.009,,,,,,,,
15.32,4.29,18.714,-0.001,0.018,-0.005,-0.009,,,,,,,,
15.34,4.135,18.227,0,0.03,-0.005,-0.007,,,,,,,,
15.36,4.009,17.926,0,0.04,-0.005,-0.007,,,,,,,,
15.38,3.957,17.706,0,0.044,-0.005,-0.005,,,,,,,,
15.4,3.948,17.692,0,0.044,-0.005,-0.005,,,,,,,,
15.42,4.332,18.522,0,0.018,-0.005,-0.005,,,,,,,,
15.44,2.338,17.801,-0.026,0.03,-0.007,-0.004,,,,,,,,
15.46,1.27,17.374,-0.041,0.04,-0.007,-0.004,,,,,,,,
15.48,2.663,17.313,-0.018,0.044,-0.007,-0.002,,,,,,,,
15.5,3.566,17.402,-0.004,0.044,-0.007,-0.002,,,,,,,,
15.52,4.233,18.263,0,0.018,-0.007,-0.002,,,,,,,,
15.54,4.462,18.712,0.001,0.003,-0.007,-0.002,,,,,,,,
15.56,4.488,18.831,0,-0.001,-0.007,-0.002,,,,,,,,
15.58,4.468,18.83,0,-0.001,-0.007,-0.002,,,,,,,,
15.6,4.064,17.877,0,0.026,-0.007,0,,,,,,,,
15.62,3.851,17.425,0,0.041,-0.007,0,,,,,,,,
15.64,5.988,18.358,0.026,0.018,-0.005,0,,,,,,,,
15.66,7.109,18.904,0.041,0.004,-0.005,0,,,,,,,,
15.68,6.103,19.803,0.018,-0.027,-0.005,-0.002,,,,,,,,
15.7,5.786,21.082,0.004,-0.068,-0.005,-0.004,,,,,,,,
15.72,5.373,20.777,0,-0.059,-0.005,-0.004,,,,,,,,
15.74,5.201,20.559,-0.001,-0.048,-0.005,-0.005,,,,,,,,
15.76,5.163,20.426,0,-0.044,-0.005,-0.005,,,,,,,,
15.78,6.985,20.752,0.026,-0.043,-0.003,-0.007,,,,,,,,
15.8,7.909,20.869,0.041,-0.043,-0.003,-0.007,,,,,,,,
15.82,6.073,19.886,0.018,-0.017,-0.003,-0.007,,,,,,,,
15.84,5.34,20.277,0.004,-0.029,-0.003,-0.009,,,,,,,,
15.86,5.205,20.57,0,-0.04,-0.003,-0.009,,,,,,,,
15.88,4.854,19.869,-0.001,-0.017,-0.003,-0.009,,,,,,,,
15.9,4.684,19.452,0,-0.004,-0.003,-0.009,,,,,,,,
15.92,4.642,19.33,0,0.001,-0.003,-0.009,,,,,,,,
15.94,4.643,19.327,0,0.001,-0.003,-0.009,,,,,,,,
15.96,4.648,19.345,0,0,-0.003,-0.009,,,,,,,,
15.98,4.651,19.357,0,0,-0.003,-0.009,,,,,,,,
16,3.225,20.061,-0.026,-0.026,-0.005,-0.011,,,,,,,,
16.02,2.512,20.4,-0.041,-0.041,-0.005,-0.011,,,,,,,,
16.04,3.638,19.874,-0.018,-0.018,-0.005,-0.011,,,,,,,,
16.06,3.957,18.611,-0.004,0.022,-0.005,-0.009,,,,,,,,
16.08,3.969,18.069,0,0.041,-0.005,-0.009,,,,,,,,
16.1,4.311,18.766,0.001,0.019,-0.005,-0.009,,,,,,,,
16.12,4.105,18.285,0,0.031,-0.005,-0.007,,,,,,,,
16.14,3.559,17.055,0,0.067,-0.005,-0.005,,,,,,,,
16.16,3.678,17.329,0,0.058,-0.005,-0.005,,,,,,,,
16.18,4.201,18.458,0,0.022,-0.005,-0.005,,,,,,,,
16.2,4.077,18.092,0,0.03,-0.005,-0.004,,,,,,,,
16.22,3.937,17.796,0,0.039,-0.005,-0.004,,,,,,,,
16.24,3.873,17.559,0,0.043,-0.005,-0.002,,,,,,,,
16.26,3.86,17.535,0,0.044,-0.005,-0.002,,,,,,,,
16.28,6.056,18.597,0.026,0.018,-0.003,-0.002,,,,,,,,
16.3,7.181,19.152,0.041,0.003,-0.003,-0.002,,,,,,,,
16.32,5.781,19.104,0.018,-0.001,-0.003,-0.002,,,,,,,,
16.34,4.867,18.999,0.004,-0.001,-0.003,-0.002,,,,,,,,
16.36,4.575,18.95,0,0,-0.003,-0.002,,,,,,,,
16.38,4.547,18.938,-0.001,0,-0.003,-0.002,,,,,,,,
16.4,4.574,18.939,0,0,-0.003,-0.002,,,,,,,,
16.42,4.203,18.007,0,0.026,-0.003,0,,,,,,,,
16.44,4.39,18.499,0,0.014,-0.003,-0.002,,,,,,,,
16.46,4.922,19.642,0,-0.023,-0.003,-0.002,,,,,,,,
16.48,4.799,19.381,0,-0.014,-0.003,-0.002,,,,,,,,
16.5,5.043,20.012,0,-0.031,-0.003,-0.004,,,,,,,,
16.52,5.189,20.329,0,-0.041,-0.003,-0.004,,,,,,,,
16.54,4.849,19.605,0,-0.018,-0.003,-0.004,,,,,,,,
16.56,5.033,20.105,0,-0.03,-0.003,-0.005,,,,,,,,
16.58,5.177,20.418,0,-0.04,-0.003,-0.005,,,,,,,,
16.6,4.845,19.711,0,-0.017,-0.003,-0.005,,,,,,,,
16.62,5.033,20.221,0,-0.03,-0.003,-0.007,,,,,,,,
16.64,5.178,20.538,0,-0.04,-0.003,-0.007,,,,,,,,
16.66,4.846,19.832,0,-0.017,-0.003,-0.007,,,,,,,,
16.68,4.646,19.409,0,-0.004,-0.003,-0.007,,,,,,,,
16.7,5.36,21.153,0,-0.052,-0.003,-0.011,,,,,,,,
16.72,5.767,22,0,-0.08,-0.003,-0.011,,,,,,,,
16.74,5.119,20.65,0,-0.036,-0.003,-0.011,,,,,,,,
16.76,4.711,19.783,0,-0.008,-0.003,-0.011,,,,,,,,
16.78,4.584,19.518,0,0.001,-0.003,-0.011,,,,,,,,
16.8,4.573,19.502,0,0.002,-0.003,-0.011,,,,,,,,
16.82,4.197,18.6,0,0.027,-0.003,-0.009,,,,,,,,
16.84,3.998,18.18,0,0.041,-0.003,-0.009,,,,,,,,
16.86,4.326,18.89,0,0.018,-0.003,-0.009,,,,,,,,
16.88,4.142,18.4,0,0.03,-0.003,-0.007,,,,,,,,
16.9,3.611,17.163,0,0.067,-0.003,-0.005,,,,,,,,
16.92,3.348,16.5,0,0.084,-0.003,-0.004,,,,,,,,
16.94,3.666,17.187,0,0.062,-0.003,-0.004,,,,,,,,
16.96,4.257,18.456,0,0.021,-0.003,-0.004,,,,,,,,
16.98,4.14,18.108,0,0.029,-0.003,-0.002,,,,,,,,
17,3.995,17.799,0,0.039,-0.003,-0.002,,,,,,,,
17.02,4.315,18.488,0,0.017,-0.003,-0.002,,,,,,,,
17.04,4.12,17.969,0,0.03,-0.003,0,,,,,,,,
17.06,3.971,17.651,0,0.04,-0.003,0,,,,,,,,
17.08,4.3,18.359,0,0.017,-0.003,0,,,,,,,,
17.1,4.498,18.784,0,0.004,-0.003,0,,,,,,,,
17.12,4.556,18.911,0,-0.001,-0.003,0,,,,,,,,
17.14,4.559,18.918,0,-0.001,-0.003,0,,,,,,,,
17.16,4.551,18.903,0,0,-0.003,0,,,,,,,,
17.18,4.158,17.96,0,0.026,-0.003,0.002,,,,,,,,
17.2,3.95,17.514,0,0.041,-0.003,0.002,,,,,,,,
17.22,4.663,19.147,0,-0.008,-0.003,0,,,,,,,,
17.24,5.073,20.028,0,-0.037,-0.003,0,,,,,,,,
17.26,5.196,20.397,0,-0.045,-0.003,-0.002,,,,,,,,
17.28,5.201,20.409,0,-0.045,-0.003,-0.002,,,,,,,,
17.3,5.19,20.492,0,-0.044,-0.003,-0.004,,,,,,,,
17.32,5.18,20.475,0,-0.044,-0.003,-0.004,,,,,,,,
17.34,6.995,20.821,0.026,-0.044,-0.002,-0.005,,,,,,,,
17.36,7.911,20.93,0.041,-0.044,-0.002,-0.005,,,,,,,,
17.38,6.072,19.942,0.018,-0.017,-0.002,-0.005,,,,,,,,
17.4,5.339,20.33,0.004,-0.029,-0.002,-0.007,,,,,,,,
17.42,5.205,20.621,0,-0.04,-0.002,-0.007,,,,,,,,
17.44,4.855,19.92,-0.001,-0.017,-0.002,-0.007,,,,,,,,
17.46,4.685,19.503,0,-0.004,-0.002,-0.007,,,,,,,,
17.48,4.644,19.381,0,0.001,-0.002,-0.007,,,,,,,,
17.5,4.645,19.377,0,0.001,-0.002,-0.007,,,,,,,,
17.52,4.652,19.394,0,0,-0.002,-0.007,,,,,,,,
17.54,2.841,19.169,-0.026,0,-0.003,-0.007,,,,,,,,
17.56,1.924,19.067,-0.041,0,-0.003,-0.007,,,,,,,,
17.58,3.766,20.175,-0.018,-0.026,-0.003,-0.009,,,,,,,,
17.6,4.884,20.728,-0.004,-0.041,-0.003,-0.009,,,,,,,,
17.62,4.839,20.064,0,-0.018,-0.003,-0.009,,,,,,,,
17.64,4.655,19.63,0.001,-0.004,-0.003,-0.009,,,,,,,,
17.66,4.173,18.56,0,0.027,-0.003,-0.007,,,,,,,,
17.68,3.943,18.108,0,0.041,-0.003,-0.007,,,,,,,,
17.7,4.269,18.825,0,0.018,-0.003,-0.007,,,,,,,,
17.72,4.089,18.343,0,0.03,-0.003,-0.005,,,,,,,,
17.74,3.947,18.043,0,0.04,-0.003,-0.005,,,,,,,,
17.76,3.891,17.822,0,0.044,-0.003,-0.004,,,,,,,,
17.78,3.882,17.808,0,0.044,-0.003,-0.004,,,,,,,,
17.8,4.267,18.637,0,0.018,-0.003,-0.004,,,,,,,,
17.82,4.475,19.086,0,0.003,-0.003,-0.004,,,,,,,,
17.84,4.143,18.275,0,0.026,-0.003,-0.002,,,,,,,,
17.86,3.937,17.835,0,0.04,-0.003,-0.002,,,,,,,,
17.88,6.068,18.757,0.026,0.018,-0.002,-0.002,,,,,,,,
17.9,7.185,19.296,0.041,0.004,-0.002,-0.002,,,,,,,,
17.92,5.792,19.259,0.018,0,-0.002,-0.002,,,,,,,,
17.94,4.882,19.163,0.004,-0.001,-0.002,-0.002,,,,,,,,
17.96,4.592,19.117,0,0,-0.002,-0.002,,,,,,,,
17.98,4.565,19.106,-0.001,0,-0.002,-0.002,,,,,,,,
18,4.592,19.107,0,0,-0.002,-0.002,,,,,,,,
18.02,4.222,18.176,0,0.026,-0.002,0,,,,,,,,
18.04,4.022,17.734,0,0.041,-0.002,0,,,,,,,,
18.06,4.349,18.435,0,0.018,-0.002,0,,,,,,,,
18.08,4.553,18.875,0,0.004,-0.002,0,,,,,,,,
18.1,5.003,19.945,0,-0.027,-0.002,-0.002,,,,,,,,
18.12,5.213,20.398,0,-0.041,-0.002,-0.002,,,,,,,,
18.14,4.879,19.684,0,-0.018,-0.002,-0.002,,,,,,,,
18.16,5.057,20.169,0,-0.03,-0.002,-0.004,,,,,,,,
18.18,5.197,20.473,0,-0.04,-0.002,-0.004,,,,,,,,
18.2,4.865,19.763,0,-0.017,-0.002,-0.004,,,,,,,,
18.22,4.665,19.338,0,-0.004,-0.002,-0.004,,,,,,,,
18.24,5.38,21.081,0,-0.052,-0.002,-0.007,,,,,,,,
18.26,5.401,21.026,0,-0.054,-0.002,-0.005,,,,,,,,
18.28,4.547,19.199,0,0.005,-0.002,-0.005,,,,,,,,
18.3,4.467,19.03,0,0.01,-0.002,-0.005,,,,,,,,
18.32,4.545,19.203,0,0.005,-0.002,-0.005,,,,,,,,
18.34,4.986,20.255,0,-0.025,-0.002,-0.007,,,,,,,,
18.36,5.209,20.738,0,-0.041,-0.002,-0.007,,,,,,,,
18.38,4.883,20.044,0,-0.018,-0.002,-0.007,,,,,,,,
18.4,4.288,18.67,0,0.022,-0.002,-0.005,,,,,,,,
18.42,4.017,18.092,0,0.041,-0.002,-0.005,,,,,,,,
18.44,4.338,18.784,0,0.019,-0.002,-0.005,,,,,,,,
18.46,4.161,18.306,0,0.031,-0.002,-0.004,,,,,,,,
18.48,3.635,17.077,0,0.067,-0.002,-0.002,,,,,,,,
18.5,3.761,17.35,0,0.058,-0.002,-0.002,,,,,,,,
18.52,4.287,18.478,0,0.022,-0.002,-0.002,,,,,,,,
18.54,4.163,18.112,0,0.03,-0.002,0,,,,,,,,
18.56,4.024,17.814,0,0.039,-0.002,0,,,,,,,,
18.58,3.961,17.577,0,0.043,-0.002,0.002,,,,,,,,
18.6,3.949,17.551,0,0.044,-0.002,0.002,,,,,,,,
18.62,4.333,18.376,0,0.018,-0.002,0.002,,,,,,,,
18.64,4.541,18.822,0,0.003,-0.002,0.002,,,,,,,,
18.66,4.598,18.943,0,-0.001,-0.002,0.002,,,,,,,,
18.68,4.598,18.944,0,-0.001,-0.002,0.002,,,,,,,,
18.7,4.203,17.992,0,0.026,-0.002,0.003,,,,,,,,
18.72,3.604,16.605,0,0.067,-0.002,0.005,,,,,,,,
18.74,3.723,16.858,0,0.059,-0.002,0.005,,,,,,,,
18.76,4.255,17.996,0,0.022,-0.002,0.005,,,,,,,,
18.78,4.523,18.569,0,0.003,-0.002,0.005,,,,,,,,
18.8,5.367,20.582,0,-0.054,-0.002,0.002,,,,,,,,
18.82,5.389,20.526,0,-0.056,-0.002,0.003,,,,,,,,
18.84,4.518,18.658,0,0.004,-0.002,0.003,,,,,,,,
18.86,4.816,19.399,0,-0.016,-0.002,0.002,,,,,,,,
18.88,5.098,20.003,0,-0.036,-0.002,0.002,,,,,,,,
18.9,5.212,20.35,0,-0.043,-0.002,0,,,,,,,,
18.92,7.043,20.627,0.026,-0.045,0,0,,,,,,,,
18.94,7.571,19.901,0.041,-0.018,0,0,,,,,,,,
18.96,6.292,20.211,0.018,-0.03,0,-0.002,,,,,,,,
18.98,5.526,20.421,0.004,-0.04,0,-0.002,,,,,,,,
19,4.914,19.685,0,-0.017,0,-0.002,,,,,,,,
19.02,5.082,20.195,-0.001,-0.03,0,-0.004,,,,,,,,
19.04,5.258,20.514,0,-0.04,0,-0.004,,,,,,,,
19.06,4.945,19.809,0,-0.017,0,-0.004,,,,,,,,
19.08,4.753,19.386,0,-0.004,0,-0.004,,,,,,,,
19.1,4.693,19.26,0,0.001,0,-0.004,,,,,,,,
19.12,5.077,20.188,0,-0.026,0,-0.005,,,,,,,,
19.14,5.289,20.647,0,-0.04,0,-0.005,,,,,,,,
19.16,4.966,19.957,0,-0.018,0,-0.005,,,,,,,,
19.18,2.561,18.352,-0.026,0.022,-0.002,-0.004,,,,,,,,
19.2,1.374,17.668,-0.041,0.041,-0.002,-0.004,,,,,,,,
19.22,3.151,18.53,-0.018,0.019,-0.002,-0.004,,,,,,,,
19.24,3.888,18.158,-0.004,0.031,-0.002,-0.002,,,,,,,,
